d20550|断掉电源电路。|├電源回路抹消
d08553|垂钓侧调速机接球的动作速度|├つり合おもり側調速機キャッチの作動速度
d08554|索道平衡侧调速机接球的动作速度轿侧的比例|├つり合おもり側調速機キャッチの作動速度かご側の割合
d20576|水面直径主索No|├直径主索No
d08655|水面主线直径|├主ロープ直径
d20578|断水直径未摩损部。|├直径未摩損部
d20579|断水直径未摩损部比例|├直径未摩損部割合
d08657|穷主索道磨损脚|├主ロープ摩耗足
d20580|断线及生锈主索No|├主索ロープ素線切れ及び発錆主索No
d20582|断面。|├主索素線断面
d08659|水面主绳断裂数|├主ロープ破断数
d22019|断线判定标准|├素線切れ判定基準
d20583|穷主索最大数|├主索最大数
d20584|穷主索本数。|├主索本数
d20585|断水要重点检查的主索No|├要重点点検の主索No
d20586|断水要正的主索No|├要是正の主索No
d20587|断水装置无负荷时的值抹消|├はかり装置無負荷時の値抹消
d20588|断水装置无负荷时的值|├はかり装置無負荷時の値
d20589|断水装置无负荷时的值单位|├はかり装置無負荷時の値単位
d22025|断水UCMP型号|├ＵＣＭＰ型名
d22020|水面制动距离。|├制動距離
d22023|池塘制动距离与上次的值之差|├制動距離＿前回値との差
d22024|短围裙的长度。|├エプロンの長さ
d20590|壁橱的门开关动作点|├かごの戸スイッチ動作点
d09548|有无索道|├ガバナーロープおもり有無
d20591|索道吊篮侧未磨损部直径|├調速機ロープかご側未摩損部直径
d20592|索道侧未磨损部分直径|├調速機ロープおもり側未摩損部直径
d08666|水面横幅筐直径|├ガバナーロープかご直径
d08675|水面横幅绳子的直径|├ガバナーロープおもり直径
d08668|水上横幅绳或磨损脚|├ガバナーロープかご摩耗足
d08677|水面横幅绳子耐磨脚|├ガバナーロープおもり摩耗足
d08670|水面横幅绳或断裂数|├ガバナーロープかご破断数
d08679|水面横幅绳子的断开数|├ガバナーロープおもり破断数
d08672|池塘横幅筐生锈及其他好坏|├ガバナーロープかご発錆その他良否
d08681|水面横幅绳生锈其他好不好|├ガバナーロープおもり発錆その他良否
d08697|池塘导游鞋篮侧型号|├ガイドシューかご側型名
d08698|池塘导游鞋柜侧上部左|├ガイドシューかご側上部左
d08699|吊篮侧上部左好不好|├ガイドシューかご側上部左良否
d08700|水面导游鞋篮侧上部右|├ガイドシューかご側上部右
d08701|吊篮侧上部右好不好|├ガイドシューかご側上部右良否
d08702|池塘导游鞋柜侧下部左|├ガイドシューかご側下部左
d08703|吊篮侧下部左好不好|├ガイドシューかご側下部左良否
d08704|池塘导游鞋篮侧下部右|├ガイドシューかご側下部右
d08705|吊篮侧下部右好不好|├ガイドシューかご側下部右良否
d08706|池塘导游鞋柜侧型号|├ガイドシューカウンタ側型式
d08707|水面向导鞋柜侧上部左|├ガイドシューカウンタ側上部左
d08709|水面向导鞋柜侧上部右|├ガイドシューカウンタ側上部右
d08711|池塘导游鞋柜侧下部左|├ガイドシューカウンタ側下部左
d08713|穷导游鞋柜侧下部右|├ガイドシューカウンタ側下部右
d08540|断水侧非常止型|├おもり側非常止型式
d20595|悬吊紧急停止装置工作距离|├つり合おもり非常止め装置作動距離
d20596|铲除穷途末路的车主。|├張り車おもり側抹消
d08673|水面横幅绳或清除栏|├ガバナーロープかごクリアランス
d08682|水面横幅绳子的壁垒间隙|├ガバナーロープおもりクリアランス
d08542|池塘边的紧急停止型。|├かご側非常止型式
d08535|吊篮紧急停止装置BG尺寸|├かご非常止め装置ＢＧ寸法
d08536|吊篮紧急停止装置左动作距离|├かご非常止め装置左作動距離
d08537|吊篮紧急停止装置右动作距离|├かご非常止め装置右作動距離
d08538|吊篮紧急停止装置轿水平度|├かご非常止め装置かご水平度
d08539|断水笼侧非常停止水平度是否良好|├かご側非常止かご水平度良否
d09549|有无吊绳|├つり合いロープ有無
d08684|吊索直径|├つり合いロープ直径
d21163|消除吊绳、锁链及安装部的断裂数|├つり合ロープ、鎖及び取付部破断数抹消
d08688|吊索断裂数|├つり合いロープ破断数
d21164|吊绳、锁链及安装部磨损脚抹消|├つり合ロープ、鎖及び取付部摩耗足抹消
d08686|吊索磨损脚|├つり合いロープ摩耗足
d20599|吊绳、锁链及安装部底部间隙|├つり合ロープ、鎖及び取付部底部すき間
d13238|有无吊装绳SW|├つり合ロープＳＷ有無
d13239|吊装绳SW剩余尺寸|├つり合ロープＳＷ残り寸法
d20602|吊桶底部间隙缓冲器形式|├つり合おもり底部すき間緩衝器形式
d08663|测量吊桶底部的缝隙|├つり合おもり底部すき間測定
d08665|悬架底部间隙测量垫片|├つり合おもり底部すき間測定スペーサー
d16604|水面二次消防驾驶速度|├二次消防運転速度
d20603|断水上述以外的检查项目1|├上記以外の検査項目1
d20604|上述以外的检查项目2|├上記以外の検査項目2
d20605|上述以外的检查项目3|├上記以外の検査項目3
d20606|上述以外的检查项目4|├上記以外の検査項目4
d20607|上述以外的检查项目5|├上記以外の検査項目5
d20608|上述以外的检查项目6|├上記以外の検査項目6
d20609|上述以外的检查项目7|├上記以外の検査項目7
d20610|上述以外的检查项目8|├上記以外の検査項目8
d20611|上述以外的检查项目9|├上記以外の検査項目9
d20612|断水上述以外的检查项目10|├上記以外の検査項目10
d20613|在终端客户报告书上打印|├顧客報告書へ印字
d20614|断水时管制运转装置电池电压|├停電時管制運転装置バッテリー電圧
d20615|有无上次检查相关文件的复印件|├前回検査に関する書類の写し有無
d20616|有无故障记录|├不具合の記録有無
d20617|断水检查项目1（1）・检查结果（品检）|├検査項目1(1)・検査結果(品検)
d20618|断水检查项目1（2）・检查结果（品检）|├検査項目1(2)・検査結果(品検)
d20619|断水检查项目1（3）・检查结果（品检）|├検査項目1(3)・検査結果(品検)
d20620|断水检查项目1（4）・检查结果（品检）|├検査項目1(4)・検査結果(品検)
d20621|断水检查项目1（5）・检查结果（品检）|├検査項目1(5)・検査結果(品検)
d20622|断水检查项目1（6）・检查结果（品检）|├検査項目1(6)・検査結果(品検)
d20623|断水检查项目1（7）・检查结果（品检）|├検査項目1(7)・検査結果(品検)
d20624|断水检查项目1（8）・检查结果（品检）|├検査項目1(8)・検査結果(品検)
d20625|断水检查项目1（9）・检查结果（品检）|├検査項目1(9)・検査結果(品検)
d20626|断水检查项目1（10）・检查结果（品检）|├検査項目1(10)・検査結果(品検)
d20629|断水检查项目1（11）・检查结果（品检）|├検査項目1(11)・検査結果(品検)
d20630|断水检查项目1（12）・检查结果（品检）|├検査項目1(12)・検査結果(品検)
d20631|断水检查项目1（13）・检查结果（品检）|├検査項目1(13)・検査結果(品検)
d20633|断水检查项目1（14）-1・检查结果（品检）|├検査項目1(14)-1・検査結果(品検)
d20634|断水检查项目1（14）-2・检查结果（品检）|├検査項目1(14)-2・検査結果(品検)
d20635|断水检查项目1（15）・检查结果（品检）|├検査項目1(15)・検査結果(品検)
d20636|断水检查项目1（16）・检查结果（品检）|├検査項目1(16)・検査結果(品検)
d20637|断水检查项目1（17）・检查结果（品检）|├検査項目1(17)・検査結果(品検)
d20638|断水检查项目1（18）・检查结果（品检）|├検査項目1(18)・検査結果(品検)
d20639|断水检查项目1（19）・检查结果（品检）|├検査項目1(19)・検査結果(品検)
d20641|断水检查项目2（1）・检查结果（品检）|├検査項目2(1)・検査結果(品検)
d20642|断水检查项目2（2）・检查结果（品检）|├検査項目2(2)・検査結果(品検)
d20644|断水检查项目2（03）-1・检查结果（品检）|├検査項目2(03)-1・検査結果(品検)
d20645|断水检查项目2（03）-2・检查结果（品检）|├検査項目2(03)-2・検査結果(品検)
d20646|断水检查项目2（4）・检查结果（品检）|├検査項目2(4)・検査結果(品検)
d20647|断水检查项目2（5）・检查结果（品检）|├検査項目2(5)・検査結果(品検)
d20648|断水检查项目2（6）・检查结果（品检）|├検査項目2(6)・検査結果(品検)
d20649|断水检查项目2（7）・检查结果（品检）|├検査項目2(7)・検査結果(品検)
d20650|断水检查项目2（8）・检查结果（品检）|├検査項目2(8)・検査結果(品検)
d20651|断水检查项目2（9）・检查结果（品检）|├検査項目2(9)・検査結果(品検)
d20652|断水检查项目2（10）・检查结果（品检）|├検査項目2(10)・検査結果(品検)
d20653|断水检查项目2（11）・检查结果（品检）|├検査項目2(11)・検査結果(品検)
d20654|断水检查项目2（12）・检查结果（品检）|├検査項目2(12)・検査結果(品検)
d20975|断水检查项目2（13）・检查结果（品检）|├検査項目2(13)・検査結果(品検)
d20655|断水检查项目3（1）・检查结果（品检）|├検査項目3(1)・検査結果(品検)
d20656|断水检查项目3（2）・检查结果（品检）|├検査項目3(2)・検査結果(品検)
d20657|断水检查项目3（3）・检查结果（品检）|├検査項目3(3)・検査結果(品検)
d20658|断水检查项目3（4）・检查结果（品检）|├検査項目3(4)・検査結果(品検)
d20661|断水检查项目3（5）・检查结果（品检）|├検査項目3(5)・検査結果(品検)
d20662|断水检查项目3（6）・检查结果（品检）|├検査項目3(6)・検査結果(品検)
d20663|断水检查项目3（7）・检查结果（品检）|├検査項目3(7)・検査結果(品検)
d20664|断水检查项目3（8）・检查结果（品检）|├検査項目3(8)・検査結果(品検)
d20665|断水检查项目3（9）・检查结果（品检）|├検査項目3(9)・検査結果(品検)
d20666|断水检查项目3（10）・检查结果（品检）|├検査項目3(10)・検査結果(品検)
d20667|断水检查项目3（11）・检查结果（品检）|├検査項目3(11)・検査結果(品検)
d20668|断水检查项目3（12）・检查结果（品检）|├検査項目3(12)・検査結果(品検)
d20669|断水检查项目3（13）・检查结果（品检）|├検査項目3(13)・検査結果(品検)
d20680|断水检查项目4（1）・检查结果（品检）|├検査項目4(1)・検査結果(品検)
d20681|断水检查项目4（2）・检查结果（品检）|├検査項目4(2)・検査結果(品検)
d20682|断水检查项目4（3）・检查结果（品检）|├検査項目4(3)・検査結果(品検)
d20683|断水检查项目4（4）・检查结果（品检）|├検査項目4(4)・検査結果(品検)
d20684|断水检查项目4（5）・检查结果（品检）|├検査項目4(5)・検査結果(品検)
d20685|断水检查项目4（6）・检查结果（品检）|├検査項目4(6)・検査結果(品検)
d20686|断水检查项目4（7）・检查结果（品检）|├検査項目4(7)・検査結果(品検)
d20687|断水检查项目4（7）・检查结果（品检）|├検査項目4(7)・検査結果(品検)
d20688|断水检查项目4（9）・检查结果（品检）|├検査項目4(9)・検査結果(品検)
d20689|断水检查项目4（10）・检查结果（品检）|├検査項目4(10)・検査結果(品検)
d20690|断水检查项目4（11）・检查结果（品检）|├検査項目4(11)・検査結果(品検)
d20691|断水检查项目4（12）・检查结果（品检）|├検査項目4(12)・検査結果(品検)
d20692|断水检查项目4（13）・检查结果（品检）|├検査項目4(13)・検査結果(品検)
d20693|断水检查项目4（14）・检查结果（品检）|├検査項目4(14)・検査結果(品検)
d20694|断水检查项目4（15）・检查结果（品检）|├検査項目4(15)・検査結果(品検)
d20695|断水检查项目4（16）・检查结果（品检）|├検査項目4(16)・検査結果(品検)
d20696|断水检查项目4（17）・检查结果（品检）|├検査項目4(17)・検査結果(品検)
d20697|断水检查项目4（18）・检查结果（品检）|├検査項目4(18)・検査結果(品検)
d20698|断水检查项目4（19）・检查结果（品检）|├検査項目4(19)・検査結果(品検)
d20987|断水检查项目4（20）・检查结果（品检）|├検査項目4(20)・検査結果(品検)
d20699|断水检查项目5（1）・检查结果（品检）|├検査項目5(1)・検査結果(品検)
d20700|断水检查项目5（2）・检查结果（品检）|├検査項目5(2)・検査結果(品検)
d20701|断水检查项目5（3）・检查结果（品检）|├検査項目5(3)・検査結果(品検)
d20702|断水检查项目5（4）・检查结果（品检）|├検査項目5(4)・検査結果(品検)
d20703|断水检查项目5（5）・检查结果（品检）|├検査項目5(5)・検査結果(品検)
d20713|断水检查项目6（1）・检查结果（品检）|├検査項目6(1)・検査結果(品検)
d20714|断水检查项目6（2）・检查结果（品检）|├検査項目6(2)・検査結果(品検)
d20715|断水检查项目6（3）・检查结果（品检）|├検査項目6(3)・検査結果(品検)
d20716|断水检查项目6（4）・检查结果（品检）|├検査項目6(4)・検査結果(品検)
d20717|断水检查项目6（5）・检查结果（品检）|├検査項目6(5)・検査結果(品検)
d20718|断水检查项目6（6）・检查结果（品检）|├検査項目6(6)・検査結果(品検)
d20719|断水检查项目6（7）・检查结果（品检）|├検査項目6(7)・検査結果(品検)
d20720|断水检查项目6（8）・检查结果（品检）|├検査項目6(8)・検査結果(品検)
d20721|断水检查项目6（9）・检查结果（品检）|├検査項目6(9)・検査結果(品検)
d20722|断水检查项目6（10）・检查结果（品检）|├検査項目6(10)・検査結果(品検)
d20723|断水检查项目6（11）・检查结果（品检）|├検査項目6(11)・検査結果(品検)
d20724|断水检查项目6（12）・检查结果（品检）|├検査項目6(12)・検査結果(品検)
d22015|断水检查项目6（13）・检查结果（品检）|├検査項目6(13)・検査結果(品検)
d22016|断水检查项目6（14）・检查结果（品检）|├検査項目6(14)・検査結果(品検)
d20725|断水检查项目7（1）・检查结果（品检）|├検査項目7(1)・検査結果(品検)
d20726|断水检查项目7（2）・检查结果（品检）|├検査項目7(2)・検査結果(品検)
d20727|断水检查项目7（3）・检查结果（品检）|├検査項目7(3)・検査結果(品検)
d20728|断水检查项目7（4）・检查结果（品检）|├検査項目7(4)・検査結果(品検)
d20729|断水检查项目7（5）・检查结果（品检）|├検査項目7(5)・検査結果(品検)
d20735|断水检查项目8（1）・检查结果（品检）|├検査項目8(1)・検査結果(品検)
d20936|断水检查项目8（2）・检查结果（品检）|├検査項目8(2)・検査結果(品検)
d20937|断水检查项目8（3）・检查结果（品检）|├検査項目8(3)・検査結果(品検)
d20938|断水检查项目8（4）・检查结果（品检）|├検査項目8(4)・検査結果(品検)
d20939|断水检查项目8（5）・检查结果（品检）|├検査項目8(5)・検査結果(品検)
d20940|断水检查项目8（6）・检查结果（品检）|├検査項目8(6)・検査結果(品検)
d20941|断水检查项目8（7）・检查结果（品检）|├検査項目8(7)・検査結果(品検)
d20942|断水检查项目8（8）・检查结果（品检）|├検査項目8(8)・検査結果(品検)
d20943|断水检查项目8（9）・检查结果（品检）|├検査項目8(9)・検査結果(品検)
d20944|断水检查项目8（10）・检查结果（品检）|├検査項目8(10)・検査結果(品検)
d20746|水上附加装置等X（01）・检查结果（品检）|├付加装置等X(01)・検査結果(品検)
d20747|水上附加装置等X（02）・检查结果（品检）|├付加装置等X(02)・検査結果(品検)
d20748|水上附加装置等X（03）・检查结果（品检）|├付加装置等X(03)・検査結果(品検)
d20749|断水装置等X（04）・检查结果（品检）|├付加装置等X(04)・検査結果(品検)
d20750|水上附加装置等X（05）・检查结果（品检）|├付加装置等X(05)・検査結果(品検)
d20751|水上附加装置等X（06）・检查结果（品检）|├付加装置等X(06)・検査結果(品検)
d20752|断水检查项目1（1）・检查结果（法检）|├検査項目1(1)・検査結果(法検)
d20753|断水检查项目1（2）・检查结果（法检）|├検査項目1(2)・検査結果(法検)
d20754|断水检查项目1（3）・检查结果（法检）|├検査項目1(3)・検査結果(法検)
d20755|断水检查项目1（4）・检查结果（法检）|├検査項目1(4)・検査結果(法検)
d20756|断水检查项目1（5）・检查结果（法检）|├検査項目1(5)・検査結果(法検)
d20757|断水检查项目1（6）・检查结果（法检）|├検査項目1(6)・検査結果(法検)
d20758|断水检查项目1（7）・检查结果（法检）|├検査項目1(7)・検査結果(法検)
d20759|断水检查项目1（8）・检查结果（法检）|├検査項目1(8)・検査結果(法検)
d20760|断水检查项目1（9）・检查结果（法检）|├検査項目1(9)・検査結果(法検)
d20761|断水检查项目1（10）・检查结果（法检）|├検査項目1(10)・検査結果(法検)
d20764|断水检查项目1（11）・检查结果（法检）|├検査項目1(11)・検査結果(法検)
d20765|断水检查项目1（12）・检查结果（法检）|├検査項目1(12)・検査結果(法検)
d20766|断水检查项目1（13）・检查结果（法检）|├検査項目1(13)・検査結果(法検)
d20768|断水检查项目1（14）-1・检查结果（法检）|├検査項目1(14)-1・検査結果(法検)
d20769|断水检查项目1（14）-2・检查结果（法检）|├検査項目1(14)-2・検査結果(法検)
d20770|断水检查项目1（15）・检查结果（法检）|├検査項目1(15)・検査結果(法検)
d20771|断水检查项目1（16）・检查结果（法检）|├検査項目1(16)・検査結果(法検)
d20772|断水检查项目1（17）・检查结果（法检）|├検査項目1(17)・検査結果(法検)
d20773|断水检查项目1（18）・检查结果（法检）|├検査項目1(18)・検査結果(法検)
d20774|断水检查项目1（19）・检查结果（法检）|├検査項目1(19)・検査結果(法検)
d20776|断水检查项目2（1）・检查结果（法检）|├検査項目2(1)・検査結果(法検)
d20777|断水检查项目2（2）・检查结果（法检）|├検査項目2(2)・検査結果(法検)
d20779|断水检查项目2（03）-1・检查结果（法检）|├検査項目2(03)-1・検査結果(法検)
d20780|断水检查项目2（03）-2・检查结果（法检）|├検査項目2(03)-2・検査結果(法検)
d20781|断水检查项目2（4）・检查结果（法检）|├検査項目2(4)・検査結果(法検)
d20782|断水检查项目2（5）・检查结果（法检）|├検査項目2(5)・検査結果(法検)
d20783|断水检查项目2（6）・检查结果（法检）|├検査項目2(6)・検査結果(法検)
d20784|断水检查项目2（7）・检查结果（法检）|├検査項目2(7)・検査結果(法検)
d20785|断水检查项目2（8）・检查结果（法检）|├検査項目2(8)・検査結果(法検)
d20786|断水检查项目2（9）・检查结果（法检）|├検査項目2(9)・検査結果(法検)
d20787|断水检查项目2（10）・检查结果（法检）|├検査項目2(10)・検査結果(法検)
d20788|断水检查项目2（11）・检查结果（法检）|├検査項目2(11)・検査結果(法検)
d20789|断水检查项目2（12）・检查结果（法检）|├検査項目2(12)・検査結果(法検)
d20990|断水检查项目2（13）・检查结果（法检）|├検査項目2(13)・検査結果(法検)
d20790|断水检查项目3（1）・检查结果（法检）|├検査項目3(1)・検査結果(法検)
d20791|断水检查项目3（2）・检查结果（法检）|├検査項目3(2)・検査結果(法検)
d20792|断水检查项目3（3）・检查结果（法检）|├検査項目3(3)・検査結果(法検)
d20793|断水检查项目3（4）・检查结果（法检）|├検査項目3(4)・検査結果(法検)
d20796|断水检查项目3（5）・检查结果（法检）|├検査項目3(5)・検査結果(法検)
d20797|断水检查项目3（6）・检查结果（法检）|├検査項目3(6)・検査結果(法検)
d20798|断水检查项目3（7）・检查结果（法检）|├検査項目3(7)・検査結果(法検)
d20799|断水检查项目3（8）・检查结果（法检）|├検査項目3(8)・検査結果(法検)
d20800|断水检查项目3（9）・检查结果（法检）|├検査項目3(9)・検査結果(法検)
d20801|断水检查项目3（10）・检查结果（法检）|├検査項目3(10)・検査結果(法検)
d20802|断水检查项目3（11）・检查结果（法检）|├検査項目3(11)・検査結果(法検)
d20803|断水检查项目3（12）・检查结果（法检）|├検査項目3(12)・検査結果(法検)
d20804|断水检查项目3（13）・检查结果（法检）|├検査項目3(13)・検査結果(法検)
d20815|断水检查项目4（1）・检查结果（法检）|├検査項目4(1)・検査結果(法検)
d20816|断水检查项目4（2）・检查结果（法检）|├検査項目4(2)・検査結果(法検)
d20817|断水检查项目4（3）・检查结果（法检）|├検査項目4(3)・検査結果(法検)
d20818|断水检查项目4（4）・检查结果（法检）|├検査項目4(4)・検査結果(法検)
d20819|断水检查项目4（5）・检查结果（法检）|├検査項目4(5)・検査結果(法検)
d20820|断水检查项目4（6）・检查结果（法检）|├検査項目4(6)・検査結果(法検)
d20821|断水检查项目4（7）・检查结果（法检）|├検査項目4(7)・検査結果(法検)
d20822|断水检查项目4（8）・检查结果（法检）|├検査項目4(8)・検査結果(法検)
d20823|断水检查项目4（9）・检查结果（法检）|├検査項目4(9)・検査結果(法検)
d20824|断水检查项目4（10）・检查结果（法检）|├検査項目4(10)・検査結果(法検)
d20825|断水检查项目4（11）・检查结果（法检）|├検査項目4(11)・検査結果(法検)
d20826|断水检查项目4（12）・检查结果（法检）|├検査項目4(12)・検査結果(法検)
d20827|断水检查项目4（13）・检查结果（法检）|├検査項目4(13)・検査結果(法検)
d20828|断水检查项目4（14）・检查结果（法检）|├検査項目4(14)・検査結果(法検)
d20829|断水检查项目4（15）・检查结果（法检）|├検査項目4(15)・検査結果(法検)
d20830|断水检查项目4（16）・检查结果（法检）|├検査項目4(16)・検査結果(法検)
d20831|断水检查项目4（17）・检查结果（法检）|├検査項目4(17)・検査結果(法検)
d20832|断水检查项目4（18）・检查结果（法检）|├検査項目4(18)・検査結果(法検)
d20833|断水检查项目4（19）・检查结果（法检）|├検査項目4(19)・検査結果(法検)
d21002|断水检查项目4（20）・检查结果（法检）|├検査項目4(20)・検査結果(法検)
d20834|断水检查项目5（1）・检查结果（法检）|├検査項目5(1)・検査結果(法検)
d20835|断水检查项目5（2）・检查结果（法检）|├検査項目5(2)・検査結果(法検)
d20836|断水检查项目5（3）・检查结果（法检）|├検査項目5(3)・検査結果(法検)
d20837|断水检查项目5（4）・检查结果（法检）|├検査項目5(4)・検査結果(法検)
d20838|断水检查项目5（5）・检查结果（法检）|├検査項目5(5)・検査結果(法検)
d20848|断水检查项目6（1）・检查结果（法检）|├検査項目6(1)・検査結果(法検)
d20849|断水检查项目6（2）・检查结果（法检）|├検査項目6(2)・検査結果(法検)
d20850|断水检查项目6（3）・检查结果（法检）|├検査項目6(3)・検査結果(法検)
d20851|断水检查项目6（4）・检查结果（法检）|├検査項目6(4)・検査結果(法検)
d20852|断水检查项目6（5）・检查结果（法检）|├検査項目6(5)・検査結果(法検)
d20853|断水检查项目6（6）・检查结果（法检）|├検査項目6(6)・検査結果(法検)
d20854|断水检查项目6（7）・检查结果（法检）|├検査項目6(7)・検査結果(法検)
d20855|断水检查项目6（8）・检查结果（法检）|├検査項目6(8)・検査結果(法検)
d20856|断水检查项目6（9）・检查结果（法检）|├検査項目6(9)・検査結果(法検)
d20857|断水检查项目6（10）・检查结果（法检）|├検査項目6(10)・検査結果(法検)
d20858|断水检查项目6（11）・检查结果（法检）|├検査項目6(11)・検査結果(法検)
d20859|断水检查项目6（12）・检查结果（法检）|├検査項目6(12)・検査結果(法検)
d22017|断水检查项目6（13）・检查结果（法检）|├検査項目6(13)・検査結果(法検)
d22018|断水检查项目6（14）・检查结果（法检）|├検査項目6(14)・検査結果(法検)
d20860|断水检查项目7（1）・检查结果（法检）|├検査項目7(1)・検査結果(法検)
d20861|断水检查项目7（2）・检查结果（法检）|├検査項目7(2)・検査結果(法検)
d20862|断水检查项目7（3）・检查结果（法检）|├検査項目7(3)・検査結果(法検)
d20863|断水检查项目7（4）・检查结果（法检）|├検査項目7(4)・検査結果(法検)
d20864|断水检查项目7（5）・检查结果（法检）|├検査項目7(5)・検査結果(法検)
d20870|断水检查项目8（1）・检查结果（法检）|├検査項目8(1)・検査結果(法検)
d20946|断水检查项目8（2）・检查结果（法检）|├検査項目8(2)・検査結果(法検)
